Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
35,140,260,5,38,72.85714285714286
35,140,260,5,41,70.71428571428572
35,140,260,5,40,71.42857142857143
35,140,260,5,39,72.14285714285714
35,140,260,5,38,72.85714285714286
35,140,260,5,35,75.0
35,140,260,5,43,69.28571428571429
35,140,260,5,44,68.57142857142857
35,140,260,5,36,74.28571428571429
35,140,260,5,34,75.71428571428572
35,140,260,5,37,73.57142857142857
35,140,260,5,42,70.0
35,140,260,5,42,70.0
35,140,260,5,38,72.85714285714286
35,140,260,5,42,70.0
35,140,260,5,36,74.28571428571429
35,140,260,5,35,75.0
35,140,260,5,43,69.28571428571429
35,140,260,5,41,70.71428571428572
35,140,260,5,37,73.57142857142857
35,140,260,5,32,77.14285714285714
35,140,260,5,44,68.57142857142857
35,140,260,5,36,74.28571428571429
35,140,260,5,43,69.28571428571429
35,140,260,5,38,72.85714285714286
35,140,260,5,34,75.71428571428572
35,140,260,5,40,71.42857142857143
35,140,260,5,38,72.85714285714286
35,140,260,5,38,72.85714285714286
35,140,260,5,43,69.28571428571429
35,140,260,5,40,71.42857142857143
35,140,260,5,39,72.14285714285714
35,140,260,5,42,70.0
35,140,260,5,32,77.14285714285714
35,140,260,5,43,69.28571428571429
35,140,260,5,39,72.14285714285714
35,140,260,5,29,79.28571428571429
35,140,260,5,32,77.14285714285714
35,140,260,5,45,67.85714285714286
35,140,260,5,35,75.0
35,140,260,5,39,72.14285714285714
35,140,260,5,37,73.57142857142857
35,140,260,5,38,72.85714285714286
35,140,260,5,31,77.85714285714286
35,140,260,5,39,72.14285714285714
35,140,260,5,37,73.57142857142857
35,140,260,5,34,75.71428571428572
35,140,260,5,40,71.42857142857143
35,140,260,5,40,71.42857142857143
35,140,260,5,34,75.71428571428572
35,140,260,5,35,75.0
35,140,260,5,32,77.14285714285714
35,140,260,5,36,74.28571428571429
35,140,260,5,38,72.85714285714286
35,140,260,5,36,74.28571428571429
35,140,260,5,37,73.57142857142857
35,140,260,5,44,68.57142857142857
35,140,260,5,43,69.28571428571429
35,140,260,5,39,72.14285714285714
35,140,260,5,40,71.42857142857143
35,140,260,5,36,74.28571428571429
35,140,260,5,34,75.71428571428572
35,140,260,5,35,75.0
35,140,260,5,35,75.0
35,140,260,5,35,75.0
35,140,260,5,42,70.0
35,140,260,5,38,72.85714285714286
35,140,260,5,39,72.14285714285714
35,140,260,5,40,71.42857142857143
35,140,260,5,38,72.85714285714286
35,140,260,5,41,70.71428571428572
35,140,260,5,35,75.0
35,140,260,5,44,68.57142857142857
35,140,260,5,41,70.71428571428572
35,140,260,5,34,75.71428571428572
35,140,260,5,37,73.57142857142857
35,140,260,5,43,69.28571428571429
35,140,260,5,38,72.85714285714286
35,140,260,5,42,70.0
35,140,260,5,32,77.14285714285714
35,140,260,5,33,76.42857142857143
35,140,260,5,34,75.71428571428572
35,140,260,5,44,68.57142857142857
35,140,260,5,32,77.14285714285714
35,140,260,5,37,73.57142857142857
35,140,260,5,38,72.85714285714286
35,140,260,5,33,76.42857142857143
35,140,260,5,41,70.71428571428572
35,140,260,5,39,72.14285714285714
35,140,260,5,33,76.42857142857143
35,140,260,5,38,72.85714285714286
35,140,260,5,39,72.14285714285714
35,140,260,5,32,77.14285714285714
35,140,260,5,37,73.57142857142857
35,140,260,5,34,75.71428571428572
35,140,260,5,39,72.14285714285714
35,140,260,5,40,71.42857142857143
35,140,260,5,33,76.42857142857143
35,140,260,5,34,75.71428571428572
35,140,260,5,41,70.71428571428572
35,140,260,5,35,75.0
35,140,260,5,41,70.71428571428572
35,140,260,5,37,73.57142857142857
35,140,260,5,40,71.42857142857143
35,140,260,5,40,71.42857142857143
35,140,260,5,42,70.0
35,140,260,5,35,75.0
35,140,260,5,42,70.0
35,140,260,5,34,75.71428571428572
35,140,260,5,36,74.28571428571429
35,140,260,5,34,75.71428571428572
35,140,260,5,38,72.85714285714286
35,140,260,5,39,72.14285714285714
35,140,260,5,39,72.14285714285714
35,140,260,5,45,67.85714285714286
