Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
40,160,240,5,43,73.125
40,160,240,5,53,66.875
40,160,240,5,50,68.75
40,160,240,5,45,71.875
40,160,240,5,40,75.0
40,160,240,5,55,65.625
40,160,240,5,37,76.875
40,160,240,5,37,76.875
40,160,240,5,34,78.75
40,160,240,5,46,71.25
40,160,240,5,40,75.0
40,160,240,5,41,74.375
40,160,240,5,46,71.25
40,160,240,5,39,75.625
40,160,240,5,42,73.75
40,160,240,5,44,72.5
40,160,240,5,43,73.125
40,160,240,5,35,78.125
40,160,240,5,41,74.375
40,160,240,5,46,71.25
40,160,240,5,47,70.625
40,160,240,5,44,72.5
40,160,240,5,49,69.375
40,160,240,5,47,70.625
40,160,240,5,42,73.75
40,160,240,5,43,73.125
40,160,240,5,48,70.0
40,160,240,5,41,74.375
40,160,240,5,46,71.25
40,160,240,5,39,75.625
40,160,240,5,40,75.0
40,160,240,5,34,78.75
40,160,240,5,44,72.5
40,160,240,5,49,69.375
40,160,240,5,42,73.75
40,160,240,5,48,70.0
40,160,240,5,36,77.5
40,160,240,5,47,70.625
40,160,240,5,47,70.625
40,160,240,5,40,75.0
40,160,240,5,39,75.625
40,160,240,5,43,73.125
40,160,240,5,41,74.375
40,160,240,5,40,75.0
40,160,240,5,48,70.0
40,160,240,5,50,68.75
40,160,240,5,41,74.375
40,160,240,5,40,75.0
40,160,240,5,45,71.875
40,160,240,5,51,68.125
40,160,240,5,46,71.25
40,160,240,5,42,73.75
40,160,240,5,46,71.25
40,160,240,5,48,70.0
40,160,240,5,57,64.375
40,160,240,5,43,73.125
40,160,240,5,42,73.75
40,160,240,5,32,80.0
40,160,240,5,51,68.125
40,160,240,5,47,70.625
40,160,240,5,38,76.25
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,37,76.875
40,160,240,5,47,70.625
40,160,240,5,50,68.75
40,160,240,5,48,70.0
40,160,240,5,39,75.625
40,160,240,5,44,72.5
40,160,240,5,45,71.875
40,160,240,5,39,75.625
40,160,240,5,48,70.0
40,160,240,5,48,70.0
40,160,240,5,39,75.625
40,160,240,5,41,74.375
40,160,240,5,40,75.0
40,160,240,5,43,73.125
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,46,71.25
40,160,240,5,44,72.5
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,42,73.75
40,160,240,5,46,71.25
40,160,240,5,46,71.25
40,160,240,5,40,75.0
40,160,240,5,38,76.25
40,160,240,5,45,71.875
40,160,240,5,41,74.375
40,160,240,5,41,74.375
40,160,240,5,42,73.75
40,160,240,5,42,73.75
40,160,240,5,41,74.375
40,160,240,5,49,69.375
40,160,240,5,40,75.0
40,160,240,5,47,70.625
40,160,240,5,42,73.75
40,160,240,5,45,71.875
40,160,240,5,48,70.0
40,160,240,5,44,72.5
40,160,240,5,53,66.875
40,160,240,5,36,77.5
40,160,240,5,48,70.0
40,160,240,5,40,75.0
40,160,240,5,34,78.75
40,160,240,5,37,76.875
40,160,240,5,44,72.5
40,160,240,5,41,74.375
40,160,240,5,47,70.625
40,160,240,5,44,72.5
40,160,240,5,42,73.75
40,160,240,5,49,69.375
40,160,240,5,47,70.625
40,160,240,5,41,74.375
40,160,240,5,49,69.375
40,160,240,5,52,67.5
40,160,240,5,42,73.75
40,160,240,5,44,72.5
40,160,240,5,44,72.5
40,160,240,5,39,75.625
40,160,240,5,45,71.875
40,160,240,5,45,71.875
40,160,240,5,51,68.125
40,160,240,5,39,75.625
40,160,240,5,49,69.375
40,160,240,5,43,73.125
40,160,240,5,45,71.875
40,160,240,5,42,73.75
40,160,240,5,46,71.25
40,160,240,5,39,75.625
40,160,240,5,53,66.875
40,160,240,5,40,75.0
40,160,240,5,49,69.375
40,160,240,5,47,70.625
40,160,240,5,47,70.625
40,160,240,5,44,72.5
40,160,240,5,44,72.5
40,160,240,5,43,73.125
40,160,240,5,43,73.125
40,160,240,5,49,69.375
40,160,240,5,41,74.375
40,160,240,5,33,79.375
40,160,240,5,38,76.25
40,160,240,5,45,71.875
40,160,240,5,47,70.625
40,160,240,5,36,77.5
40,160,240,5,40,75.0
40,160,240,5,40,75.0
40,160,240,5,39,75.625
40,160,240,5,48,70.0
40,160,240,5,45,71.875
40,160,240,5,50,68.75
40,160,240,5,43,73.125
40,160,240,5,49,69.375
40,160,240,5,43,73.125
40,160,240,5,54,66.25
40,160,240,5,48,70.0
40,160,240,5,47,70.625
40,160,240,5,47,70.625
40,160,240,5,39,75.625
40,160,240,5,38,76.25
40,160,240,5,39,75.625
40,160,240,5,35,78.125
40,160,240,5,45,71.875
40,160,240,5,47,70.625
40,160,240,5,43,73.125
40,160,240,5,44,72.5
40,160,240,5,37,76.875
40,160,240,5,47,70.625
40,160,240,5,53,66.875
40,160,240,5,52,67.5
40,160,240,5,46,71.25
40,160,240,5,43,73.125
40,160,240,5,45,71.875
40,160,240,5,51,68.125
40,160,240,5,50,68.75
40,160,240,5,38,76.25
40,160,240,5,40,75.0
40,160,240,5,45,71.875
40,160,240,5,46,71.25
40,160,240,5,43,73.125
40,160,240,5,43,73.125
40,160,240,5,46,71.25
40,160,240,5,45,71.875
40,160,240,5,43,73.125
40,160,240,5,41,74.375
40,160,240,5,48,70.0
40,160,240,5,37,76.875
40,160,240,5,41,74.375
40,160,240,5,46,71.25
40,160,240,5,47,70.625
40,160,240,5,43,73.125
40,160,240,5,44,72.5
40,160,240,5,43,73.125
40,160,240,5,41,74.375
40,160,240,5,49,69.375
40,160,240,5,45,71.875
40,160,240,5,48,70.0
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,44,72.5
40,160,240,5,47,70.625
40,160,240,5,52,67.5
