Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
25,100,300,3,26,74.0
25,100,300,3,30,70.0
25,100,300,3,26,74.0
25,100,300,3,31,69.0
25,100,300,3,31,69.0
25,100,300,3,21,79.0
25,100,300,3,31,69.0
25,100,300,3,29,71.0
25,100,300,3,19,81.0
25,100,300,3,23,77.0
25,100,300,3,23,77.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,27,73.0
25,100,300,3,29,71.0
25,100,300,3,27,73.0
25,100,300,3,23,77.0
25,100,300,3,31,69.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,19,81.0
25,100,300,3,34,66.0
25,100,300,3,32,68.0
25,100,300,3,21,79.0
25,100,300,3,21,79.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,26,74.0
25,100,300,3,27,73.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,31,69.0
25,100,300,3,25,75.0
25,100,300,3,21,79.0
25,100,300,3,22,78.0
25,100,300,3,31,69.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,30,70.0
25,100,300,3,32,68.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,26,74.0
25,100,300,3,26,74.0
25,100,300,3,21,79.0
25,100,300,3,34,66.0
25,100,300,3,23,77.0
25,100,300,3,25,75.0
25,100,300,3,27,73.0
25,100,300,3,32,68.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,29,71.0
25,100,300,3,18,82.0
25,100,300,3,29,71.0
25,100,300,3,34,66.0
25,100,300,3,30,70.0
25,100,300,3,25,75.0
25,100,300,3,30,70.0
25,100,300,3,21,79.0
25,100,300,3,34,66.0
25,100,300,3,32,68.0
25,100,300,3,28,72.0
25,100,300,3,31,69.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,22,78.0
25,100,300,3,25,75.0
25,100,300,3,20,80.0
25,100,300,3,28,72.0
25,100,300,3,30,70.0
25,100,300,3,34,66.0
25,100,300,3,33,67.0
25,100,300,3,25,75.0
25,100,300,3,16,84.0
25,100,300,3,32,68.0
25,100,300,3,28,72.0
25,100,300,3,24,76.0
25,100,300,3,24,76.0
25,100,300,3,29,71.0
25,100,300,3,25,75.0
25,100,300,3,20,80.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,21,79.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,28,72.0
25,100,300,3,34,66.0
25,100,300,3,31,69.0
25,100,300,3,21,79.0
25,100,300,3,20,80.0
25,100,300,3,20,80.0
25,100,300,3,22,78.0
25,100,300,3,32,68.0
25,100,300,3,29,71.0
25,100,300,3,30,70.0
25,100,300,3,26,74.0
25,100,300,3,27,73.0
25,100,300,3,22,78.0
25,100,300,3,30,70.0
25,100,300,3,27,73.0
25,100,300,3,31,69.0
25,100,300,3,27,73.0
25,100,300,3,24,76.0
25,100,300,3,29,71.0
25,100,300,3,28,72.0
25,100,300,3,22,78.0
25,100,300,3,30,70.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,23,77.0
25,100,300,3,29,71.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,32,68.0
25,100,300,3,29,71.0
25,100,300,3,31,69.0
25,100,300,3,29,71.0
25,100,300,3,25,75.0
25,100,300,3,24,76.0
25,100,300,3,25,75.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,28,72.0
25,100,300,3,26,74.0
25,100,300,3,29,71.0
25,100,300,3,23,77.0
25,100,300,3,26,74.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,26,74.0
25,100,300,3,23,77.0
25,100,300,3,24,76.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,30,70.0
25,100,300,3,31,69.0
25,100,300,3,27,73.0
25,100,300,3,22,78.0
25,100,300,3,27,73.0
25,100,300,3,35,65.0
25,100,300,3,31,69.0
25,100,300,3,25,75.0
25,100,300,3,30,70.0
25,100,300,3,22,78.0
25,100,300,3,33,67.0
25,100,300,3,27,73.0
25,100,300,3,29,71.0
25,100,300,3,29,71.0
25,100,300,3,25,75.0
25,100,300,3,22,78.0
25,100,300,3,18,82.0
25,100,300,3,30,70.0
25,100,300,3,26,74.0
25,100,300,3,28,72.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,29,71.0
25,100,300,3,27,73.0
25,100,300,3,27,73.0
25,100,300,3,32,68.0
25,100,300,3,30,70.0
25,100,300,3,22,78.0
25,100,300,3,24,76.0
25,100,300,3,23,77.0
25,100,300,3,30,70.0
25,100,300,3,27,73.0
25,100,300,3,23,77.0
25,100,300,3,34,66.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,26,74.0
25,100,300,3,26,74.0
25,100,300,3,36,64.0
25,100,300,3,23,77.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,31,69.0
25,100,300,3,22,78.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,24,76.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,35,65.0
25,100,300,3,25,75.0
25,100,300,3,31,69.0
25,100,300,3,21,79.0
25,100,300,3,24,76.0
25,100,300,3,26,74.0
25,100,300,3,21,79.0
25,100,300,3,29,71.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,21,79.0
25,100,300,3,29,71.0
25,100,300,3,22,78.0
25,100,300,3,25,75.0
25,100,300,3,26,74.0
25,100,300,3,22,78.0
25,100,300,3,30,70.0
25,100,300,3,28,72.0
25,100,300,3,26,74.0
25,100,300,3,21,79.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,30,70.0
25,100,300,3,30,70.0
25,100,300,3,33,67.0
25,100,300,3,24,76.0
25,100,300,3,25,75.0
25,100,300,3,27,73.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,24,76.0
25,100,300,3,30,70.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,24,76.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,30,70.0
25,100,300,3,26,74.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,27,73.0
25,100,300,3,22,78.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,28,72.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,18,82.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,23,77.0
25,100,300,3,25,75.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,33,67.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,33,67.0
25,100,300,3,26,74.0
25,100,300,3,29,71.0
25,100,300,3,29,71.0
25,100,300,3,34,66.0
25,100,300,3,25,75.0
25,100,300,3,26,74.0
25,100,300,3,32,68.0
25,100,300,3,33,67.0
25,100,300,3,26,74.0
25,100,300,3,26,74.0
25,100,300,3,28,72.0
25,100,300,3,24,76.0
25,100,300,3,28,72.0
25,100,300,3,26,74.0
25,100,300,3,28,72.0
25,100,300,3,25,75.0
25,100,300,3,34,66.0
25,100,300,3,26,74.0
25,100,300,3,24,76.0
25,100,300,3,24,76.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,26,74.0
25,100,300,3,23,77.0
25,100,300,3,28,72.0
25,100,300,3,20,80.0
25,100,300,3,21,79.0
25,100,300,3,29,71.0
25,100,300,3,28,72.0
25,100,300,3,19,81.0
25,100,300,3,31,69.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,26,74.0
25,100,300,3,22,78.0
25,100,300,3,29,71.0
25,100,300,3,29,71.0
25,100,300,3,22,78.0
25,100,300,3,25,75.0
25,100,300,3,29,71.0
25,100,300,3,23,77.0
25,100,300,3,28,72.0
25,100,300,3,21,79.0
25,100,300,3,24,76.0
25,100,300,3,28,72.0
25,100,300,3,34,66.0
25,100,300,3,26,74.0
25,100,300,3,25,75.0
25,100,300,3,29,71.0
25,100,300,3,35,65.0
25,100,300,3,33,67.0
25,100,300,3,21,79.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,23,77.0
25,100,300,3,34,66.0
25,100,300,3,25,75.0
25,100,300,3,30,70.0
25,100,300,3,23,77.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,32,68.0
25,100,300,3,30,70.0
25,100,300,3,30,70.0
25,100,300,3,26,74.0
25,100,300,3,23,77.0
25,100,300,3,29,71.0
25,100,300,3,28,72.0
25,100,300,3,29,71.0
25,100,300,3,31,69.0
25,100,300,3,24,76.0
25,100,300,3,29,71.0
25,100,300,3,27,73.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,31,69.0
25,100,300,3,32,68.0
25,100,300,3,20,80.0
25,100,300,3,38,62.0
25,100,300,3,31,69.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,26,74.0
25,100,300,3,32,68.0
25,100,300,3,31,69.0
25,100,300,3,26,74.0
25,100,300,3,30,70.0
25,100,300,3,36,64.0
25,100,300,3,20,80.0
25,100,300,3,22,78.0
25,100,300,3,25,75.0
25,100,300,3,27,73.0
25,100,300,3,32,68.0
25,100,300,3,26,74.0
25,100,300,3,28,72.0
25,100,300,3,22,78.0
25,100,300,3,21,79.0
25,100,300,3,25,75.0
25,100,300,3,31,69.0
25,100,300,3,25,75.0
25,100,300,3,29,71.0
25,100,300,3,32,68.0
25,100,300,3,22,78.0
25,100,300,3,23,77.0
25,100,300,3,31,69.0
25,100,300,3,30,70.0
25,100,300,3,30,70.0
25,100,300,3,27,73.0
25,100,300,3,21,79.0
25,100,300,3,32,68.0
25,100,300,3,24,76.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,22,78.0
25,100,300,3,21,79.0
25,100,300,3,21,79.0
25,100,300,3,35,65.0
25,100,300,3,28,72.0
25,100,300,3,32,68.0
25,100,300,3,24,76.0
25,100,300,3,32,68.0
25,100,300,3,28,72.0
25,100,300,3,28,72.0
25,100,300,3,28,72.0
25,100,300,3,23,77.0
25,100,300,3,24,76.0
25,100,300,3,31,69.0
25,100,300,3,27,73.0
25,100,300,3,29,71.0
25,100,300,3,31,69.0
25,100,300,3,31,69.0
25,100,300,3,32,68.0
25,100,300,3,27,73.0
25,100,300,3,30,70.0
25,100,300,3,29,71.0
25,100,300,3,28,72.0
25,100,300,3,24,76.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,25,75.0
25,100,300,3,24,76.0
25,100,300,3,28,72.0
25,100,300,3,38,62.0
25,100,300,3,28,72.0
25,100,300,3,32,68.0
25,100,300,3,23,77.0
25,100,300,3,25,75.0
25,100,300,3,35,65.0
25,100,300,3,34,66.0
25,100,300,3,22,78.0
25,100,300,3,26,74.0
25,100,300,3,25,75.0
25,100,300,3,28,72.0
25,100,300,3,27,73.0
25,100,300,3,25,75.0
25,100,300,3,21,79.0
25,100,300,3,30,70.0
25,100,300,3,25,75.0
25,100,300,3,23,77.0
25,100,300,3,22,78.0
25,100,300,3,29,71.0
25,100,300,3,22,78.0
25,100,300,3,20,80.0
25,100,300,3,22,78.0
25,100,300,3,29,71.0
25,100,300,3,27,73.0
25,100,300,3,26,74.0
