Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
92.14659685863874,368,32,5,44,88.04347826086956
88.04347826086956,352,48,5,9,97.44318181818183
97.44318181818183,389,11,5,63,83.80462724935732
83.80462724935732,335,65,5,17,94.92537313432835
94.92537313432835,379,21,5,18,95.25065963060686
95.25065963060686,381,19,5,47,87.66404199475066
87.66404199475066,350,50,5,11,96.85714285714285
96.85714285714285,387,13,5,48,87.5968992248062
87.5968992248062,350,50,5,11,96.85714285714285
96.85714285714285,387,13,5,37,90.4392764857881
90.4392764857881,361,39,5,15,95.8448753462604
95.8448753462604,383,17,5,30,92.16710182767625
92.16710182767625,368,32,5,17,95.38043478260869
95.38043478260869,381,19,5,27,92.91338582677166
92.91338582677166,371,29,5,30,91.91374663072776
91.91374663072776,367,33,5,26,92.91553133514988
92.91553133514988,371,29,5,38,89.75741239892183
89.75741239892183,359,41,5,23,93.5933147632312
93.5933147632312,374,26,5,16,95.72192513368985
95.72192513368985,382,18,5,38,90.05235602094241
90.05235602094241,360,40,5,10,97.22222222222223
97.22222222222223,388,12,5,38,90.2061855670103
90.2061855670103,360,40,5,25,93.05555555555556
93.05555555555556,372,28,5,24,93.54838709677419
93.54838709677419,374,26,5,22,94.11764705882354
94.11764705882354,376,24,5,40,89.36170212765957
89.36170212765957,357,43,5,22,93.83753501400561
93.83753501400561,375,25,5,32,91.46666666666667
91.46666666666667,365,35,5,21,94.24657534246575
94.24657534246575,376,24,5,32,91.48936170212765
91.48936170212765,365,35,5,18,95.06849315068493
95.06849315068493,380,20,5,29,92.36842105263158
92.36842105263158,369,31,5,19,94.8509485094851
94.8509485094851,379,21,5,21,94.45910290237467
94.45910290237467,377,23,5,20,94.69496021220161
94.69496021220161,378,22,5,20,94.70899470899471
94.70899470899471,378,22,5,35,90.74074074074073
90.74074074074073,362,38,5,27,92.5414364640884
92.5414364640884,370,30,5,13,96.4864864864865
96.4864864864865,385,15,5,36,90.64935064935064
90.64935064935064,362,38,5,14,96.13259668508287
96.13259668508287,384,16,5,25,93.48958333333334
93.48958333333334,373,27,5,15,95.97855227882037
95.97855227882037,383,17,5,47,87.72845953002611
87.72845953002611,350,50,5,11,96.85714285714285
96.85714285714285,387,13,5,52,86.56330749354004
86.56330749354004,346,54,5,10,97.10982658959539
97.10982658959539,388,12,5,39,89.94845360824742
89.94845360824742,359,41,5,19,94.70752089136491
94.70752089136491,378,22,5,52,86.24338624338624
86.24338624338624,344,56,5,17,95.05813953488372
95.05813953488372,380,20,5,31,91.84210526315789
91.84210526315789,367,33,5,28,92.37057220708448
92.37057220708448,369,31,5,14,96.20596205962059
96.20596205962059,384,16,5,17,95.57291666666667
95.57291666666667,382,18,5,19,95.0261780104712
95.0261780104712,380,20,5,32,91.57894736842104
91.57894736842104,366,34,5,18,95.08196721311477
95.08196721311477,380,20,5,24,93.68421052631578
93.68421052631578,374,26,5,16,95.72192513368985
95.72192513368985,382,18,5,54,85.86387434554973
85.86387434554973,343,57,5,8,97.66763848396502
97.66763848396502,390,10,5,34,91.28205128205127
91.28205128205127,365,35,5,13,96.43835616438355
96.43835616438355,385,15,5,39,89.87012987012986
89.87012987012986,359,41,5,17,95.26462395543176
95.26462395543176,381,19,5,26,93.1758530183727
93.1758530183727,372,28,5,29,92.20430107526882
92.20430107526882,368,32,5,9,97.55434782608695
97.55434782608695,390,10,5,23,94.10256410256409
94.10256410256409,376,24,5,54,85.63829787234043
85.63829787234043,342,58,5,7,97.953216374269
97.953216374269,391,9,5,27,93.09462915601024
93.09462915601024,372,28,5,34,90.86021505376344
90.86021505376344,363,37,5,26,92.8374655647383
92.8374655647383,371,29,5,30,91.91374663072776
91.91374663072776,367,33,5,15,95.91280653950955
95.91280653950955,383,17,5,17,95.56135770234988
95.56135770234988,382,18,5,37,90.31413612565444
90.31413612565444,361,39,5,14,96.12188365650971
96.12188365650971,384,16,5,26,93.22916666666667
93.22916666666667,372,28,5,48,87.09677419354838
87.09677419354838,348,52,5,4,98.85057471264368
98.85057471264368,395,5,5,62,84.30379746835443
84.30379746835443,337,63,5,9,97.3293768545994
97.3293768545994,389,11,5,26,93.31619537275064
93.31619537275064,373,27,5,29,92.22520107238606
92.22520107238606,368,32,5,13,96.46739130434783
96.46739130434783,385,15,5,43,88.83116883116882
88.83116883116882,355,45,5,12,96.61971830985917
96.61971830985917,386,14,5,30,92.22797927461139
92.22797927461139,368,32,5,28,92.39130434782608
92.39130434782608,369,31,5,20,94.57994579945799
94.57994579945799,378,22,5,19,94.97354497354497
