Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
40,160,240,3,19,88.125
40,160,240,3,21,86.875
40,160,240,3,20,87.5
40,160,240,3,13,91.875
40,160,240,3,15,90.625
40,160,240,3,16,90.0
40,160,240,3,18,88.75
40,160,240,3,23,85.625
40,160,240,3,16,90.0
40,160,240,3,13,91.875
40,160,240,3,20,87.5
40,160,240,3,26,83.75
40,160,240,3,21,86.875
40,160,240,3,25,84.375
40,160,240,3,17,89.375
40,160,240,3,15,90.625
40,160,240,3,16,90.0
40,160,240,3,22,86.25
40,160,240,3,18,88.75
40,160,240,3,25,84.375
40,160,240,3,22,86.25
40,160,240,3,18,88.75
40,160,240,3,22,86.25
40,160,240,3,19,88.125
40,160,240,3,17,89.375
40,160,240,3,20,87.5
40,160,240,3,15,90.625
40,160,240,3,13,91.875
40,160,240,3,25,84.375
40,160,240,3,22,86.25
40,160,240,3,21,86.875
40,160,240,3,20,87.5
40,160,240,3,20,87.5
40,160,240,3,27,83.125
40,160,240,3,13,91.875
40,160,240,3,12,92.5
40,160,240,3,23,85.625
40,160,240,3,22,86.25
40,160,240,3,27,83.125
40,160,240,3,19,88.125
40,160,240,3,19,88.125
40,160,240,3,20,87.5
40,160,240,3,17,89.375
40,160,240,3,15,90.625
40,160,240,3,18,88.75
40,160,240,3,21,86.875
40,160,240,3,21,86.875
40,160,240,3,17,89.375
40,160,240,3,18,88.75
40,160,240,3,20,87.5
40,160,240,3,15,90.625
40,160,240,3,18,88.75
40,160,240,3,20,87.5
40,160,240,3,21,86.875
40,160,240,3,20,87.5
40,160,240,3,17,89.375
40,160,240,3,15,90.625
40,160,240,3,17,89.375
40,160,240,3,16,90.0
40,160,240,3,15,90.625
40,160,240,3,21,86.875
40,160,240,3,15,90.625
40,160,240,3,17,89.375
40,160,240,3,16,90.0
40,160,240,3,14,91.25
40,160,240,3,17,89.375
40,160,240,3,14,91.25
40,160,240,3,13,91.875
40,160,240,3,19,88.125
40,160,240,3,20,87.5
40,160,240,3,23,85.625
40,160,240,3,20,87.5
40,160,240,3,15,90.625
