Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,9,91.0
25,100,300,3,6,94.0
25,100,300,3,9,91.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,14,86.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,14,86.0
25,100,300,3,10,90.0
25,100,300,3,16,84.0
25,100,300,3,17,83.0
25,100,300,3,9,91.0
25,100,300,3,8,92.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,16,84.0
25,100,300,3,10,90.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,9,91.0
25,100,300,3,12,88.0
25,100,300,3,8,92.0
25,100,300,3,8,92.0
25,100,300,3,9,91.0
25,100,300,3,14,86.0
25,100,300,3,12,88.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,6,94.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,7,93.0
25,100,300,3,11,89.0
25,100,300,3,17,83.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,14,86.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,19,81.0
25,100,300,3,5,95.0
25,100,300,3,8,92.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,15,85.0
25,100,300,3,13,87.0
25,100,300,3,6,94.0
25,100,300,3,11,89.0
25,100,300,3,13,87.0
25,100,300,3,6,94.0
25,100,300,3,11,89.0
25,100,300,3,16,84.0
25,100,300,3,15,85.0
25,100,300,3,8,92.0
25,100,300,3,16,84.0
25,100,300,3,7,93.0
25,100,300,3,10,90.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,13,87.0
25,100,300,3,8,92.0
25,100,300,3,13,87.0
25,100,300,3,8,92.0
25,100,300,3,14,86.0
25,100,300,3,7,93.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,16,84.0
25,100,300,3,12,88.0
25,100,300,3,15,85.0
25,100,300,3,7,93.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,7,93.0
25,100,300,3,7,93.0
25,100,300,3,12,88.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,12,88.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,8,92.0
25,100,300,3,15,85.0
25,100,300,3,9,91.0
25,100,300,3,12,88.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,14,86.0
25,100,300,3,8,92.0
25,100,300,3,10,90.0
25,100,300,3,12,88.0
25,100,300,3,16,84.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,9,91.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,7,93.0
25,100,300,3,15,85.0
25,100,300,3,8,92.0
25,100,300,3,14,86.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,15,85.0
25,100,300,3,11,89.0
25,100,300,3,7,93.0
25,100,300,3,13,87.0
25,100,300,3,15,85.0
25,100,300,3,12,88.0
25,100,300,3,12,88.0
25,100,300,3,9,91.0
25,100,300,3,7,93.0
25,100,300,3,16,84.0
25,100,300,3,11,89.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,18,82.0
25,100,300,3,7,93.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,14,86.0
25,100,300,3,11,89.0
25,100,300,3,15,85.0
25,100,300,3,14,86.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,10,90.0
25,100,300,3,8,92.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,6,94.0
25,100,300,3,9,91.0
25,100,300,3,9,91.0
25,100,300,3,15,85.0
25,100,300,3,7,93.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,10,90.0
25,100,300,3,19,81.0
25,100,300,3,12,88.0
25,100,300,3,12,88.0
25,100,300,3,7,93.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,13,87.0
25,100,300,3,12,88.0
25,100,300,3,9,91.0
25,100,300,3,15,85.0
25,100,300,3,11,89.0
25,100,300,3,14,86.0
25,100,300,3,2,98.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,8,92.0
25,100,300,3,7,93.0
25,100,300,3,7,93.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,7,93.0
25,100,300,3,4,96.0
25,100,300,3,10,90.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,10,90.0
25,100,300,3,14,86.0
25,100,300,3,16,84.0
25,100,300,3,7,93.0
25,100,300,3,13,87.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,13,87.0
25,100,300,3,8,92.0
25,100,300,3,13,87.0
25,100,300,3,12,88.0
25,100,300,3,12,88.0
25,100,300,3,10,90.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,5,95.0
25,100,300,3,10,90.0
25,100,300,3,12,88.0
25,100,300,3,9,91.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,15,85.0
25,100,300,3,11,89.0
25,100,300,3,9,91.0
25,100,300,3,14,86.0
25,100,300,3,9,91.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,13,87.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,7,93.0
25,100,300,3,8,92.0
25,100,300,3,15,85.0
25,100,300,3,14,86.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,11,89.0
25,100,300,3,14,86.0
25,100,300,3,8,92.0
25,100,300,3,11,89.0
25,100,300,3,10,90.0
25,100,300,3,12,88.0
25,100,300,3,16,84.0
25,100,300,3,10,90.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,10,90.0
25,100,300,3,6,94.0
25,100,300,3,12,88.0
25,100,300,3,10,90.0
25,100,300,3,13,87.0
25,100,300,3,12,88.0
25,100,300,3,11,89.0
25,100,300,3,15,85.0
25,100,300,3,9,91.0
25,100,300,3,5,95.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,10,90.0
25,100,300,3,6,94.0
25,100,300,3,10,90.0
25,100,300,3,8,92.0
25,100,300,3,10,90.0
25,100,300,3,15,85.0
25,100,300,3,15,85.0
25,100,300,3,7,93.0
25,100,300,3,13,87.0
25,100,300,3,13,87.0
25,100,300,3,13,87.0
25,100,300,3,9,91.0
25,100,300,3,15,85.0
25,100,300,3,9,91.0
25,100,300,3,11,89.0
25,100,300,3,13,87.0
25,100,300,3,12,88.0
25,100,300,3,7,93.0
25,100,300,3,15,85.0
25,100,300,3,7,93.0
25,100,300,3,7,93.0
25,100,300,3,9,91.0
25,100,300,3,13,87.0
25,100,300,3,11,89.0
25,100,300,3,12,88.0
25,100,300,3,7,93.0
25,100,300,3,15,85.0
25,100,300,3,15,85.0
25,100,300,3,12,88.0
