Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
30,120,280,5,19,84.16666666666667
30,120,280,5,17,85.83333333333334
30,120,280,5,12,90.0
30,120,280,5,13,89.16666666666667
30,120,280,5,12,90.0
30,120,280,5,11,90.83333333333334
30,120,280,5,7,94.16666666666667
30,120,280,5,12,90.0
30,120,280,5,14,88.33333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,15,87.5
30,120,280,5,9,92.5
30,120,280,5,19,84.16666666666667
30,120,280,5,11,90.83333333333334
30,120,280,5,17,85.83333333333334
30,120,280,5,9,92.5
30,120,280,5,9,92.5
30,120,280,5,11,90.83333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,13,89.16666666666667
30,120,280,5,10,91.66666666666667
30,120,280,5,12,90.0
30,120,280,5,11,90.83333333333334
30,120,280,5,13,89.16666666666667
30,120,280,5,8,93.33333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,11,90.83333333333334
30,120,280,5,13,89.16666666666667
30,120,280,5,14,88.33333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,21,82.5
30,120,280,5,10,91.66666666666667
30,120,280,5,10,91.66666666666667
30,120,280,5,9,92.5
30,120,280,5,7,94.16666666666667
30,120,280,5,8,93.33333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,12,90.0
30,120,280,5,19,84.16666666666667
30,120,280,5,19,84.16666666666667
30,120,280,5,18,85.0
30,120,280,5,12,90.0
30,120,280,5,18,85.0
30,120,280,5,12,90.0
30,120,280,5,10,91.66666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,16,86.66666666666667
30,120,280,5,17,85.83333333333334
30,120,280,5,19,84.16666666666667
30,120,280,5,10,91.66666666666667
30,120,280,5,9,92.5
30,120,280,5,12,90.0
30,120,280,5,11,90.83333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,12,90.0
30,120,280,5,13,89.16666666666667
30,120,280,5,9,92.5
30,120,280,5,9,92.5
30,120,280,5,19,84.16666666666667
30,120,280,5,14,88.33333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,15,87.5
30,120,280,5,11,90.83333333333334
30,120,280,5,10,91.66666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,14,88.33333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,15,87.5
30,120,280,5,8,93.33333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,12,90.0
30,120,280,5,12,90.0
30,120,280,5,12,90.0
30,120,280,5,18,85.0
30,120,280,5,11,90.83333333333334
30,120,280,5,12,90.0
30,120,280,5,14,88.33333333333334
30,120,280,5,21,82.5
30,120,280,5,16,86.66666666666667
30,120,280,5,16,86.66666666666667
30,120,280,5,14,88.33333333333334
30,120,280,5,12,90.0
30,120,280,5,13,89.16666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,6,95.0
30,120,280,5,12,90.0
30,120,280,5,15,87.5
30,120,280,5,11,90.83333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,11,90.83333333333334
30,120,280,5,12,90.0
30,120,280,5,11,90.83333333333334
30,120,280,5,14,88.33333333333334
30,120,280,5,12,90.0
30,120,280,5,13,89.16666666666667
30,120,280,5,18,85.0
30,120,280,5,9,92.5
30,120,280,5,12,90.0
30,120,280,5,13,89.16666666666667
30,120,280,5,12,90.0
30,120,280,5,12,90.0
30,120,280,5,14,88.33333333333334
30,120,280,5,13,89.16666666666667
30,120,280,5,18,85.0
30,120,280,5,15,87.5
30,120,280,5,12,90.0
30,120,280,5,14,88.33333333333334
30,120,280,5,8,93.33333333333334
30,120,280,5,13,89.16666666666667
30,120,280,5,17,85.83333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,11,90.83333333333334
30,120,280,5,17,85.83333333333334
30,120,280,5,16,86.66666666666667
30,120,280,5,15,87.5
30,120,280,5,17,85.83333333333334
30,120,280,5,10,91.66666666666667
30,120,280,5,16,86.66666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,13,89.16666666666667
30,120,280,5,10,91.66666666666667
30,120,280,5,14,88.33333333333334
30,120,280,5,9,92.5
30,120,280,5,18,85.0
30,120,280,5,16,86.66666666666667
30,120,280,5,12,90.0
