Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
40,160,240,5,20,87.5
40,160,240,5,16,90.0
40,160,240,5,18,88.75
40,160,240,5,25,84.375
40,160,240,5,19,88.125
40,160,240,5,20,87.5
40,160,240,5,21,86.875
40,160,240,5,19,88.125
40,160,240,5,22,86.25
40,160,240,5,20,87.5
40,160,240,5,16,90.0
40,160,240,5,22,86.25
40,160,240,5,20,87.5
40,160,240,5,13,91.875
40,160,240,5,15,90.625
40,160,240,5,24,85.0
40,160,240,5,16,90.0
40,160,240,5,23,85.625
40,160,240,5,20,87.5
40,160,240,5,23,85.625
40,160,240,5,18,88.75
40,160,240,5,16,90.0
40,160,240,5,24,85.0
40,160,240,5,16,90.0
40,160,240,5,17,89.375
40,160,240,5,21,86.875
40,160,240,5,18,88.75
40,160,240,5,18,88.75
40,160,240,5,23,85.625
40,160,240,5,14,91.25
40,160,240,5,9,94.375
40,160,240,5,12,92.5
40,160,240,5,13,91.875
40,160,240,5,23,85.625
40,160,240,5,20,87.5
40,160,240,5,21,86.875
40,160,240,5,22,86.25
40,160,240,5,22,86.25
40,160,240,5,23,85.625
40,160,240,5,15,90.625
40,160,240,5,21,86.875
40,160,240,5,16,90.0
40,160,240,5,16,90.0
40,160,240,5,18,88.75
40,160,240,5,16,90.0
40,160,240,5,17,89.375
40,160,240,5,15,90.625
40,160,240,5,24,85.0
40,160,240,5,20,87.5
40,160,240,5,18,88.75
40,160,240,5,15,90.625
40,160,240,5,11,93.125
40,160,240,5,19,88.125
40,160,240,5,13,91.875
40,160,240,5,22,86.25
40,160,240,5,21,86.875
40,160,240,5,16,90.0
40,160,240,5,23,85.625
40,160,240,5,21,86.875
40,160,240,5,22,86.25
40,160,240,5,16,90.0
40,160,240,5,18,88.75
40,160,240,5,12,92.5
40,160,240,5,20,87.5
40,160,240,5,17,89.375
40,160,240,5,17,89.375
40,160,240,5,22,86.25
40,160,240,5,22,86.25
40,160,240,5,17,89.375
40,160,240,5,24,85.0
40,160,240,5,19,88.125
40,160,240,5,20,87.5
40,160,240,5,18,88.75
40,160,240,5,28,82.5
40,160,240,5,15,90.625
40,160,240,5,15,90.625
40,160,240,5,14,91.25
40,160,240,5,18,88.75
40,160,240,5,14,91.25
40,160,240,5,16,90.0
40,160,240,5,14,91.25
40,160,240,5,23,85.625
40,160,240,5,19,88.125
40,160,240,5,14,91.25
40,160,240,5,24,85.0
40,160,240,5,22,86.25
40,160,240,5,20,87.5
40,160,240,5,20,87.5
40,160,240,5,20,87.5
40,160,240,5,19,88.125
40,160,240,5,16,90.0
40,160,240,5,14,91.25
40,160,240,5,16,90.0
40,160,240,5,16,90.0
40,160,240,5,21,86.875
40,160,240,5,16,90.0
40,160,240,5,17,89.375
40,160,240,5,19,88.125
40,160,240,5,19,88.125
40,160,240,5,25,84.375
40,160,240,5,23,85.625
40,160,240,5,15,90.625
40,160,240,5,19,88.125
40,160,240,5,14,91.25
40,160,240,5,23,85.625
